REGION,TIMESLICE,FUEL,YEAR,VALUE
"SC","TM05","RESELC",2032,0.000371565821521848
"SC","TM05","RESELC",2033,0.000375807615854034
"SC","TM05","RESELC",2034,0.000380099756730966
"SC","TM05","RESELC",2035,0.000384442865548152
"SC","TM05","RESELC",2036,0.000388837550192502
"SC","TM05","RESELC",2037,0.00039328445907672
"SC","TM05","RESELC",2038,0.000397784254122108
"SC","TM05","RESELC",2039,0.00040233758374137
"SC","TM05","RESELC",2040,0.00040694509634721
"SC","TM05","RESELC",2041,0.000411607480878126
"SC","TM05","RESELC",2042,0.000416325412764018
"SC","TM05","RESELC",2043,0.000421099580943384
"SC","TM05","RESELC",2044,0.00042679415744748
"SC","TM05","RESELC",2045,0.000432488733951576
"SC","TM05","RESELC",2046,0.000438183296947074
"SC","TM05","RESELC",2047,0.00044387787345117
"SC","TM05","RESELC",2048,0.000449572449955266
"SC","TM05","RESELC",2049,0.000455267026459362
"SC","TM05","RESELC",2050,0.000460961602963458
"SC","TM05","TX",2025,2.5785138120188e-05
"SC","TM05","TX",2026,2.9733417474736e-05
"SC","TM05","TX",2027,3.364268994482e-05
"SC","TM05","TX",2028,3.7590853494664e-05
"SC","TM05","TX",2029,4.1541839784168e-05
"SC","TM05","TX",2030,4.4785679124284e-05
"SC","TM05","TX",2031,4.7037882784048e-05
"SC","TM05","TX",2032,4.9078602928328e-05
"SC","TM05","TX",2033,5.1061874289032e-05
"SC","TM05","TX",2034,5.2815036877692e-05
"SC","TM05","TX",2035,5.4421759592948e-05
"SC","TM05","TX",2036,5.5882949571648e-05
"SC","TM05","TX",2037,5.7250525922752e-05
"SC","TM05","TX",2038,5.8400548661804e-05
"SC","TM05","TX",2039,5.9530947328724e-05
"SC","TM05","TX",2040,6.0485216691252e-05
"SC","TM05","TX",2041,6.1454772274708e-05
"SC","TM05","TX",2042,6.2424323032968e-05
"SC","TM05","TX",2043,6.3393873791228e-05
"SC","TM05","TX",2044,6.4363429374684e-05
"SC","TM05","TX",2045,6.5332980132944e-05
"SC","TM05","TX",2046,6.63025357164e-05
"SC","TM05","TX",2047,6.727208647466e-05
"SC","TM05","TX",2048,6.824163723292e-05
"SC","TM05","TX",2049,6.9211192816376e-05
"SC","TM05","TX",2050,7.0180743574636e-05
"SC","TM06","COMELC",2019,0.000540502102732856
"SC","TM06","COMELC",2020,0.000402717493202084
"SC","TM06","COMELC",2021,0.000422325492827742
"SC","TM06","COMELC",2022,0.00056131697089252
"SC","TM06","COMELC",2023,0.000572862507737692
"SC","TM06","COMELC",2024,0.000592878946326556
