REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM02","PWRWND",1,2036,0.027415768871808
"SC","TM02","PWRWND",1,2037,0.027415768871808
"SC","TM02","PWRWND",1,2038,0.027415768871808
"SC","TM02","PWRWND",1,2039,0.027415768871808
"SC","TM02","PWRWND",1,2040,0.027415768871808
"SC","TM02","PWRWND",1,2041,0.027415768871808
"SC","TM02","PWRWND",1,2042,0.027415768871808
"SC","TM02","PWRWND",1,2043,0.027415768871808
"SC","TM02","PWRWND",1,2044,0.0191910382102656
"SC","TM02","PWRWND",1,2045,0.0191910382102656
"SC","TM02","BAT",1,2037,0.0195401978684972
"SC","TM02","BAT",1,2038,0.0199185577417009
"SC","TM02","BAT",1,2039,0.141820069005174
"SC","TM02","BAT",1,2040,0.0868907946693456
"SC","TM02","BAT",1,2041,0.144412402130169
"SC","TM02","BAT",1,2042,0.145729894239408
"SC","TM02","BAT",1,2043,0.0894577793597157
"SC","TM02","BAT",1,2044,0.0960778729386002
"SC","TM02","BAT",1,2045,0.0975209830013502
"SC","TM02","BAT",1,2046,0.111229764406305
"SC","TM02","BAT",1,2047,0.173395269864616
"SC","TM02","BAT",1,2048,0.175619783245591
"SC","TM02","BAT",1,2049,0.177844296626566
"SC","TM02","BAT",1,2050,0.117011875892344
"SC","TM02","BAT",2,2039,0.00998606964021081
"SC","TM02","BAT",2,2040,0.0662030542886534
"SC","TM02","BAT",2,2041,0.00998324898487258
"SC","TM02","BAT",2,2042,0.00998181545338884
"SC","TM02","BAT",2,2043,0.0675844024270954
"SC","TM02","BAT",2,2044,0.0653132229823928
"SC","TM02","BAT",2,2045,0.0660897906830982
"SC","TM02","BAT",2,2046,0.0599409920773364
"SC","TM02","BAT",2,2050,0.0630569341151971
"SC","TM02","DEMRESELC",1,2019,0.0113826885540301
"SC","TM02","DEMRESELC",1,2020,0.0116341208974221
"SC","TM02","DEMRESELC",1,2021,0.0118927832011208
"SC","TM02","DEMRESELC",1,2022,0.0121589590700628
"SC","TM02","DEMRESELC",1,2023,0.0123488732907334
"SC","TM02","DEMRESELC",1,2024,0.0128332503052091
"SC","TM02","DEMRESELC",1,2025,0.0133299194877129
"SC","TM02","DEMRESELC",1,2026,0.0136820304604401
"SC","TM02","DEMRESELC",1,2027,0.014035148371091
"SC","TM02","DEMRESELC",1,2028,0.0143892805203867
"SC","TM02","DEMRESELC",1,2029,0.0147444353322363
"SC","TM02","DEMRESELC",1,2030,0.015100619545767
"SC","TM02","DEMRESELC",1,2031,0.0152728553509883
"SC","TM02","DEMRESELC",1,2032,0.0154471331117537
"SC","TM02","DEMRESELC",1,2033,0.0156234775381963
"SC","TM02","DEMRESELC",1,2034,0.0158019150252311
"SC","TM02","DEMRESELC",1,2035,0.015982471406179
"SC","TM02","DEMRESELC",1,2036,0.0161651719527669
"SC","TM02","DEMRESELC",1,2037,0.0163500436215039
"SC","TM02","DEMRESELC",1,2038,0.0165371139304925
"SC","TM02","DEMRESELC",1,2039,0.0167264098362418
"SC","TM02","DEMRESELC",1,2040,0.0169179582952604
"SC","TM02","DEMRESELC",1,2041,0.017111787948839
"SC","TM02","DEMRESELC",1,2042,0.0173079268766744
"SC","TM02","DEMRESELC",1,2043,0.0175064037200571
"SC","TM02","DEMRESELC",1,2044,0.0177431447661349
"SC","TM02","DEMRESELC",1,2045,0.0179798858122127
"SC","TM02","DEMRESELC",1,2046,0.0182166262966965
"SC","TM02","DEMRESELC",1,2047,0.0184533673427743
"SC","TM02","DEMRESELC",1,2048,0.0186901083888521
"SC","TM02","DEMRESELC",1,2049,0.0189268494349299
"SC","TM02","DEMRESELC",1,2050,0.0191635904810077
"SC","TM02","DEMCOMELC",1,2019,0.0222782359282412
"SC","TM02","DEMCOMELC",1,2020,0.0165990757124218
"SC","TM02","DEMCOMELC",1,2021,0.0174072717204162
"SC","TM02","DEMCOMELC",1,2022,0.02313617624213
