REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM01","CONLPG",1,2027,0.000175999994368
"SC","TM01","CONLPG",1,2028,0.000181333327530667
"SC","TM01","CONLPG",1,2029,0.000186666660693334
"SC","TM01","CONLPG",1,2030,0.000191999993856
"SC","TM01","CONLPG",1,2031,0.000191999993856
"SC","TM01","CONLPG",1,2032,0.000197333327018667
"SC","TM01","CONLPG",1,2033,0.000197333327018667
"SC","TM01","CONLPG",1,2034,0.000197333327018667
"SC","TM01","CONLPG",1,2035,0.000202666660181334
"SC","TM01","CONLPG",1,2036,0.000202666660181334
"SC","TM01","CONLPG",1,2037,0.000202666660181334
"SC","TM01","CONLPG",1,2038,0.000207999993344
"SC","TM01","CONLPG",1,2039,0.000207999993344
"SC","TM01","CONLPG",1,2040,0.000207999993344
"SC","TM01","CONLPG",1,2041,0.000213333326506667
"SC","TM01","CONLPG",1,2042,0.000213333326506667
"SC","TM01","CONLPG",1,2043,0.000213333326506667
"SC","TM01","CONLPG",1,2044,0.000218666659669334
"SC","TM01","CONLPG",1,2045,0.000218666659669334
"SC","TM01","CONLPG",1,2046,0.000218666659669334
"SC","TM01","CONLPG",1,2047,0.000223999992832
"SC","TM01","CONLPG",1,2048,0.000223999992832
"SC","TM01","CONLPG",1,2049,0.000223999992832
"SC","TM01","CONLPG",1,2050,0.000229333325994667
"SC","TM02","MINWND",1,2019,0.0082247306615424
"SC","TM02","MINWND",1,2022,0.0082247306615424
"SC","TM02","MINWND",1,2023,0.0082247306615424
"SC","TM02","MINWND",1,2025,0.056002716665856
"SC","TM02","MINWND",1,2027,0.0009206494242762
"SC","TM02","MINWND",1,2028,0.0622319490512602
"SC","TM02","MINWND",1,2029,0.0650649977250577
"SC","TM02","MINWND",1,2030,0.0679005469445279
"SC","TM02","MINWND",1,2031,0.0687523340229304
"SC","TM02","MINWND",1,2032,0.0696134139093643
"SC","TM02","MINWND",1,2033,0.0496983179204352
"SC","TM02","MINWND",1,2034,0.0512521357169427
"SC","TM02","MINWND",1,2035,0.0496983179204352
"SC","TM02","MINWND",1,2036,0.0496983179204352
"SC","TM02","MINWND",1,2037,0.0496983179204352
"SC","TM02","MINWND",1,2038,0.00733432789350891
"SC","TM02","MINWND",1,2039,0.0496983179204352
"SC","TM02","MINWND",1,2040,0.0496983179204352
"SC","TM02","MINWND",1,2041,0.0496983179204352
"SC","TM02","MINWND",1,2042,0.0496983179204352
"SC","TM02","MINWND",1,2043,0.0573798094214773
"SC","TM02","MINWND",1,2044,0.0450849119424109
"SC","TM02","MINWND",1,2045,0.0642649646974464
"SC","TM02","MINWND",1,2046,0.0574293661003008
"SC","TM02","MINWND",1,2047,0.062821019860992
"SC","TM02","MINWND",1,2048,0.0616101081199737
"SC","TM02","MINWND",1,2049,0.0149556324311958
"SC","TM02","MINWND",1,2050,0.0149556324311958
"SC","TM02","IMPDSL",1,2019,0.111045572352
"SC","TM02","IMPDSL",1,2020,0.0931695488124849
"SC","TM02","IMPDSL",1,2021,0.111045572352
"SC","TM02","IMPDSL",1,2022,0.111045572352
"SC","TM02","IMPDSL",1,2023,0.111045572352
"SC","TM02","IMPDSL",1,2024,0.131999995776
"SC","TM02","IMPDSL",1,2025,0.131999995776
"SC","TM02","IMPDSL",1,2026,0.131999995776
"SC","TM02","IMPDSL",1,2027,0.131999995776
"SC","TM02","IMPDSL",1,2028,0.131999995776
"SC","TM02","IMPDSL",1,2029,0.131999995776
"SC","TM02","IMPDSL",1,2030,0.131999995775999
"SC","TM02","IMPDSL",1,2031,0.131999995775999
"SC","TM02","IMPDSL",1,2032,0.131999995775999
